Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training started
Epoch:1 elapse:1.6min ETA:80.5min losses:encoder_loss:2.8353159250357214 encoder_mse_loss:0.06175033068523193 encoder_ssim:0.5753502472805289 encoder_adv_loss:0.42166718416489085 encoder_host_loss:1.051490080776887 discriminator_loss:1.5308523734410604 host_net_loss:2.8353159250357214 
Epoch:2 elapse:1.2min ETA:57.1min losses:encoder_loss:2.082089460813082 encoder_mse_loss:0.025103044323623182 encoder_ssim:0.7020845863299492 encoder_adv_loss:0.43101607790360086 encoder_host_loss:0.8618719908671502 discriminator_loss:1.4750999493476673 host_net_loss:2.082089460813082 
Epoch:3 elapse:1.5min ETA:68.7min losses:encoder_loss:1.8344109394611456 encoder_mse_loss:0.017652415204793215 encoder_ssim:0.7599170058201521 encoder_adv_loss:0.49358744323253634 encoder_host_loss:0.8745129548586332 discriminator_loss:1.3502530842255323 host_net_loss:1.8344109394611456 
Epoch:4 elapse:1.1min ETA:51.6min losses:encoder_loss:1.6759295894549444 encoder_mse_loss:0.014592399243981792 encoder_ssim:0.789828842267012 encoder_adv_loss:0.5000417284476452 encoder_host_loss:0.8125488881117259 discriminator_loss:1.302534533616824 host_net_loss:1.6759295894549444 
Epoch:5 elapse:1.1min ETA:51.2min losses:encoder_loss:1.5286526536330198 encoder_mse_loss:0.012605343732791834 encoder_ssim:0.8121101168485788 encoder_adv_loss:0.47700830063758753 encoder_host_loss:0.7437891071805587 discriminator_loss:1.3384296032098624 host_net_loss:1.5286526536330198 
Epoch:6 elapse:1.1min ETA:50.0min losses:encoder_loss:1.466050137923314 encoder_mse_loss:0.011412311394292957 encoder_ssim:0.825700250802896 encoder_adv_loss:0.47583592121417706 encoder_host_loss:0.8447854140630136 discriminator_loss:1.3463089852760999 host_net_loss:1.466050137923314 
Epoch:7 elapse:1.2min ETA:53.4min losses:encoder_loss:1.3142714372048012 encoder_mse_loss:0.010058736731895269 encoder_ssim:0.8446245454824888 encoder_adv_loss:0.4115412690700629 encoder_host_loss:0.9567668738273474 discriminator_loss:1.500660917392144 host_net_loss:1.3142714372048012 
Epoch:8 elapse:1.5min ETA:63.6min losses:encoder_loss:1.2880900813983036 encoder_mse_loss:0.009479735466914298 encoder_ssim:0.8516609583145532 encoder_adv_loss:0.41202772702926244 encoder_host_loss:1.0592794213539516 discriminator_loss:1.4975826187011523 host_net_loss:1.2880900813983036 
Epoch:9 elapse:1.5min ETA:62.0min losses:encoder_loss:1.2597175327631143 encoder_mse_loss:0.008910080256800238 encoder_ssim:0.8585028706452785 encoder_adv_loss:0.41213190509722786 encoder_host_loss:1.1336974632281525 discriminator_loss:1.4969978265273265 host_net_loss:1.2597175327631143 
Epoch:10 elapse:1.5min ETA:60.3min losses:encoder_loss:1.2240916227683043 encoder_mse_loss:0.008396629390951533 encoder_ssim:0.867181138197581 encoder_adv_loss:0.4186313862219835 encoder_host_loss:1.1617603964530505 discriminator_loss:1.4882845313121111 host_net_loss:1.2240916227683043 
Epoch:11 elapse:1.5min ETA:58.8min losses:encoder_loss:1.2024816348002507 encoder_mse_loss:0.008081403380641953 encoder_ssim:0.8717800180117289 encoder_adv_loss:0.4170379062493642 encoder_host_loss:1.200996044354561 discriminator_loss:1.4920974673368992 host_net_loss:1.2024816348002507 
Epoch:12 elapse:1.5min ETA:57.8min losses:encoder_loss:1.1989285313166105 encoder_mse_loss:0.00769881927408278 encoder_ssim:0.8766959719168834 encoder_adv_loss:0.42104693605349613 encoder_host_loss:1.382649999551284 discriminator_loss:1.4845191619335076 host_net_loss:1.1989285313166105 
Epoch:13 elapse:1.5min ETA:55.7min losses:encoder_loss:1.1709981964184688 encoder_mse_loss:0.007310473256242963 encoder_ssim:0.8837397722097543 encoder_adv_loss:0.42643422537889236 encoder_host_loss:1.4133140770288615 discriminator_loss:1.479004708620218 host_net_loss:1.1709981964184688 
Epoch:14 elapse:1.2min ETA:43.1min losses:encoder_loss:1.166892694051449 encoder_mse_loss:0.007082130193996888 encoder_ssim:0.8873831619054843 encoder_adv_loss:0.4299846642292463 encoder_host_loss:1.525774462406452 discriminator_loss:1.472456216506469 host_net_loss:1.166892694051449 
Epoch:15 elapse:1.1min ETA:39.8min losses:encoder_loss:1.1520400926088676 encoder_mse_loss:0.007036105026371586 encoder_ssim:0.8874013249690716 encoder_adv_loss:0.4328684769379787 encoder_host_loss:1.3506992589968903 discriminator_loss:1.4682706438578093 host_net_loss:1.1520400926088676 
